timeStamp,Material,TxPower,RTT,RSSI
472289,DEMO,32,1,-41
472485,DEMO,26,1,-35
472690,DEMO,18,1,-36
472896,DEMO,6,1,-49
473063,DEMO,76,3,-49
473310,DEMO,70,1,-32
473517,DEMO,58,2,-36
473722,DEMO,50,1,-36
473907,DEMO,32,1,-42
474125,DEMO,26,4,-36
474331,DEMO,18,1,-36
474537,DEMO,6,2,-48
474744,DEMO,76,1,-30
474950,DEMO,70,2,-32
475157,DEMO,58,3,-35
475342,DEMO,50,1,-36
475557,DEMO,32,1,-41
475765,DEMO,26,3,-36
475970,DEMO,18,1,-36
476177,DEMO,6,3,-48
476322,DEMO,76,1,-48
476592,DEMO,70,3,-32
476777,DEMO,58,2,-35
476993,DEMO,50,1,-36
477198,DEMO,32,1,-42
477404,DEMO,26,1,-35
477609,DEMO,18,1,-36
477815,DEMO,6,1,-49
478022,DEMO,76,1,-30
478228,DEMO,70,2,-32
478413,DEMO,58,1,-34
478629,DEMO,50,1,-35
478835,DEMO,32,2,-42
479042,DEMO,26,3,-36
479247,DEMO,18,1,-36
479453,DEMO,6,2,-49
479577,DEMO,76,2,-49
479846,DEMO,70,2,-32
480062,DEMO,58,1,-35
480173,DEMO,50,2,-35
480275,DEMO,32,1,-42
480480,DEMO,26,1,-37
480686,DEMO,18,1,-35
480881,DEMO,6,1,-49
481079,DEMO,76,3,-30
481295,DEMO,70,1,-32
481501,DEMO,58,1,-35
481706,DEMO,50,1,-36
481912,DEMO,32,1,-42
481993,DEMO,26,3,-42
482116,DEMO,18,2,-35
482321,DEMO,6,1,-49
482518,DEMO,76,2,-30
482735,DEMO,70,2,-32
482920,DEMO,58,2,-35
483136,DEMO,50,1,-37
483343,DEMO,32,3,-42
483548,DEMO,26,1,-36
483757,DEMO,18,5,-36
483963,DEMO,6,1,-48
484078,DEMO,76,3,-48
484361,DEMO,70,5,-32
484452,DEMO,58,1,-32
484574,DEMO,50,1,-37
484779,DEMO,32,1,-42
484985,DEMO,26,1,-36
485191,DEMO,18,1,-36
485376,DEMO,6,2,-49
485596,DEMO,76,4,-30
485678,DEMO,70,3,-30
485790,DEMO,58,1,-35
486006,DEMO,50,1,-37
486212,DEMO,32,2,-42
486418,DEMO,26,1,-35
486623,DEMO,18,1,-35
486829,DEMO,6,1,-48
487026,DEMO,76,1,-30
487233,DEMO,70,3,-31
487438,DEMO,58,1,-35
487644,DEMO,50,1,-37
487852,DEMO,32,4,-42
488058,DEMO,26,1,-36
488243,DEMO,18,1,-36
488333,DEMO,6,1,-36
488458,DEMO,76,1,-30
488664,DEMO,70,1,-32
488870,DEMO,58,2,-35
489076,DEMO,50,2,-36
489282,DEMO,32,1,-42
489487,DEMO,26,1,-36
489693,DEMO,18,1,-36
489775,DEMO,6,3,-36
489898,DEMO,76,1,-30
490104,DEMO,70,1,-32
490309,DEMO,58,2,-35
490515,DEMO,50,1,-36
490710,DEMO,32,1,-42
490916,DEMO,26,2,-36
491007,DEMO,18,2,-35
491129,DEMO,6,1,-48
491326,DEMO,76,1,-30
491533,DEMO,70,3,-31
491739,DEMO,58,1,-35
491944,DEMO,50,1,-38
492150,DEMO,32,1,-42
492355,DEMO,26,1,-36
492561,DEMO,18,1,-36
492766,DEMO,6,1,-48
492869,DEMO,76,1,-30
492970,DEMO,70,1,-32
493176,DEMO,58,1,-36
493381,DEMO,50,1,-36
493587,DEMO,32,1,-42
493793,DEMO,26,1,-36
493978,DEMO,18,2,-35
494193,DEMO,6,1,-49
494327,DEMO,76,1,-49
494606,DEMO,70,2,-32
494811,DEMO,58,1,-35
495019,DEMO,50,4,-37
495225,DEMO,32,2,-41
495430,DEMO,26,1,-36
495636,DEMO,18,1,-37
495821,DEMO,6,2,-48
496041,DEMO,76,4,-30
496247,DEMO,70,2,-32
496453,DEMO,58,2,-35
496658,DEMO,50,1,-36
496864,DEMO,32,2,-42
497063,DEMO,26,6,-36
497272,DEMO,18,4,-36
497478,DEMO,6,2,-48
497581,DEMO,76,2,-30
497682,DEMO,70,1,-31
497888,DEMO,58,2,-35
498093,DEMO,50,2,-36
498278,DEMO,32,1,-41
498494,DEMO,26,1,-37
498700,DEMO,18,2,-36
498906,DEMO,6,2,-48
499072,DEMO,76,2,-48
499310,DEMO,70,1,-31
499539,DEMO,58,15,-34
499630,DEMO,50,1,-37
499731,DEMO,32,1,-42
499926,DEMO,26,1,-36
500017,DEMO,18,2,-36
500139,DEMO,6,1,-48
500326,DEMO,76,2,-29
500543,DEMO,70,2,-31
500749,DEMO,58,3,-35
500955,DEMO,50,2,-36
501160,DEMO,32,1,-41
501366,DEMO,26,2,-36
501572,DEMO,18,1,-35
501777,DEMO,6,2,-48
501985,DEMO,76,2,-30
502180,DEMO,70,1,-31
502386,DEMO,58,2,-35
502607,DEMO,50,6,-37
502802,DEMO,32,1,-42
503007,DEMO,26,1,-36
503214,DEMO,18,3,-35
503399,DEMO,6,2,-48
503513,DEMO,76,2,-30
