timeStamp,Material,TxPower,RTT,RSSI,matOrder,,TxPower,(All),,,,
580742,Water90Gelatin10,6,1,-49,3,,,,,,,
580867,Water90Gelatin10,76,2,-49,3,,,,,,,
581156,Water90Gelatin10,70,1,-32,3,,,,,,,
581362,Water90Gelatin10,58,1,-35,3,,,,,,,
581568,Water90Gelatin10,50,1,-38,3,,,,,,,
581773,Water90Gelatin10,32,1,-41,3,,,,,,,
581979,Water90Gelatin10,26,1,-36,3,,,,,,,
582184,Water90Gelatin10,18,1,-37,3,,,,,,,
582380,Water90Gelatin10,6,2,-49,3,,,,,,,
582587,Water90Gelatin10,76,1,-30,3,,,,,,,
582793,Water90Gelatin10,70,1,-31,3,,,,,,,
582998,Water90Gelatin10,58,1,-36,3,,,,,,,
583204,Water90Gelatin10,50,1,-37,3,,,,,,,
583409,Water90Gelatin10,32,1,-42,3,,,,,,,
583615,Water90Gelatin10,26,1,-37,3,,,,,,,
583820,Water90Gelatin10,18,1,-35,3,,,,,,,
584026,Water90Gelatin10,6,1,-49,3,,,,,,,
584119,Water90Gelatin10,76,1,-30,3,,,,,,,
584220,Water90Gelatin10,70,1,-32,3,,,,,,,
584436,Water90Gelatin10,58,2,-35,3,,,,,,,
584641,Water90Gelatin10,50,2,-37,3,,,,,,,
584847,Water90Gelatin10,32,1,-42,3,,,,,,,
585054,Water90Gelatin10,26,3,-36,3,,,,,,,
585249,Water90Gelatin10,18,1,-36,3,,,,,,,
585444,Water90Gelatin10,6,1,-49,3,,,,,,,
585610,Water90Gelatin10,76,2,-49,3,,,,,,,
585868,Water90Gelatin10,70,1,-32,3,,,,,,,
586073,Water90Gelatin10,58,1,-36,3,,,,,,,
586279,Water90Gelatin10,50,1,-36,3,,,,,,,
586484,Water90Gelatin10,32,1,-42,3,,,,,,,
586690,Water90Gelatin10,26,1,-36,3,,,,,,,
586895,Water90Gelatin10,18,1,-36,3,,,,,,,
587091,Water90Gelatin10,6,1,-49,3,,,,,,,
587298,Water90Gelatin10,76,1,-30,3,,,,,,,
587504,Water90Gelatin10,70,2,-31,3,,,,,,,
587709,Water90Gelatin10,58,1,-35,3,,,,,,,
587915,Water90Gelatin10,50,1,-36,3,,,,,,,
588120,Water90Gelatin10,32,1,-42,3,,,,,,,
588326,Water90Gelatin10,26,1,-36,3,,,,,,,
588531,Water90Gelatin10,18,1,-36,3,,,,,,,
588737,Water90Gelatin10,6,1,-49,3,,,,,,,
588862,Water90Gelatin10,76,2,-49,3,,,,,,,
589140,Water90Gelatin10,70,1,-32,3,,,,,,,
589346,Water90Gelatin10,58,2,-36,3,,,,,,,
589552,Water90Gelatin10,50,1,-36,3,,,,,,,
589757,Water90Gelatin10,32,1,-43,3,,,,,,,
589963,Water90Gelatin10,26,1,-37,3,,,,,,,
590168,Water90Gelatin10,18,1,-35,3,,,,,,,
590373,Water90Gelatin10,6,1,-48,3,,,,,,,
590571,Water90Gelatin10,76,1,-30,3,,,,,,,
590787,Water90Gelatin10,70,2,-31,3,,,,,,,
590982,Water90Gelatin10,58,2,-35,3,,,,,,,
591187,Water90Gelatin10,50,1,-36,3,,,,,,,
591393,Water90Gelatin10,32,2,-42,3,,,,,,,
591598,Water90Gelatin10,26,1,-36,3,,,,,,,
591804,Water90Gelatin10,18,1,-36,3,,,,,,,
592009,Water90Gelatin10,6,1,-49,3,,,,,,,
592102,Water90Gelatin10,76,1,-49,3,,,,,,,
592203,Water90Gelatin10,70,2,-32,3,,,,,,,
592419,Water90Gelatin10,58,1,-34,3,,,,,,,
592625,Water90Gelatin10,50,2,-37,3,,,,,,,
592832,Water90Gelatin10,32,3,-42,3,,,,,,,
593028,Water90Gelatin10,26,2,-36,3,,,,,,,
593244,Water90Gelatin10,18,2,-36,3,,,,,,,
593439,Water90Gelatin10,6,1,-49,3,,,,,,,
593616,Water90Gelatin10,76,2,-49,3,,,,,,,
593852,Water90Gelatin10,70,1,-32,3,,,,,,,
594058,Water90Gelatin10,58,1,-35,3,,,,,,,
594263,Water90Gelatin10,50,1,-38,3,,,,,,,
594469,Water90Gelatin10,32,1,-42,3,,,,,,,
594674,Water90Gelatin10,26,1,-36,3,,,,,,,
594880,Water90Gelatin10,18,1,-36,3,,,,,,,
595086,Water90Gelatin10,6,2,-48,3,,,,,,,
595272,Water90Gelatin10,76,1,-30,3,,,,,,,
595479,Water90Gelatin10,70,2,-31,3,,,,,,,
595695,Water90Gelatin10,58,1,-35,3,,,,,,,
595900,Water90Gelatin10,50,1,-36,3,,,,,,,
595991,Water90Gelatin10,32,2,-42,3,,,,,,,
596102,Water90Gelatin10,26,1,-35,3,,,,,,,
596308,Water90Gelatin10,18,1,-36,3,,,,,,,
596503,Water90Gelatin10,6,2,-49,3,,,,,,,
596617,Water90Gelatin10,76,1,-49,3,,,,,,,
596718,Water90Gelatin10,70,1,-31,3,,,,,,,
596923,Water90Gelatin10,58,1,-35,3,,,,,,,
597129,Water90Gelatin10,50,2,-35,3,,,,,,,
597334,Water90Gelatin10,32,1,-41,3,,,,,,,
597539,Water90Gelatin10,26,1,-36,3,,,,,,,
597745,Water90Gelatin10,18,2,-36,3,,,,,,,
597951,Water90Gelatin10,6,1,-49,3,,,,,,,
598117,Water90Gelatin10,76,1,-49,3,,,,,,,
598364,Water90Gelatin10,70,1,-31,3,,,,,,,
598569,Water90Gelatin10,58,1,-36,3,,,,,,,
598765,Water90Gelatin10,50,1,-37,3,,,,,,,
598970,Water90Gelatin10,32,2,-42,3,,,,,,,
599176,Water90Gelatin10,26,1,-36,3,,,,,,,
599382,Water90Gelatin10,18,2,-36,3,,,,,,,
599587,Water90Gelatin10,6,1,-49,3,,,,,,,
599784,Water90Gelatin10,76,1,-31,3,,,,,,,
600001,Water90Gelatin10,70,2,-31,3,,,,,,,
600165,Water90Gelatin10,58,1,-31,3,,,,,,,
600413,Water90Gelatin10,50,2,-37,3,,,,,,,
600607,Water90Gelatin10,32,1,-42,3,,,,,,,
600813,Water90Gelatin10,26,1,-36,3,,,,,,,
601022,Water90Gelatin10,18,4,-36,3,,,,,,,
601217,Water90Gelatin10,6,1,-49,3,,,,,,,
601373,Water90Gelatin10,76,2,-49,3,,,,,,,
601642,Water90Gelatin10,70,2,-32,3,,,,,,,
601837,Water90Gelatin10,58,1,-35,3,,,,,,,
602042,Water90Gelatin10,50,1,-36,3,,,,,,,
602248,Water90Gelatin10,32,1,-42,3,,,,,,,
602454,Water90Gelatin10,26,1,-36,3,,,,,,,
602659,Water90Gelatin10,18,1,-36,3,,,,,,,
602854,Water90Gelatin10,6,1,-49,3,,,,,,,
603072,Water90Gelatin10,76,1,-30,3,,,,,,,
603277,Water90Gelatin10,70,2,-32,3,,,,,,,
603483,Water90Gelatin10,58,1,-35,3,,,,,,,
603688,Water90Gelatin10,50,1,-37,3,,,,,,,
603894,Water90Gelatin10,32,2,-42,3,,,,,,,
604089,Water90Gelatin10,26,1,-36,3,,,,,,,
604294,Water90Gelatin10,18,1,-36,3,,,,,,,
604500,Water90Gelatin10,6,1,-49,3,,,,,,,
604625,Water90Gelatin10,76,1,-49,3,,,,,,,
604913,Water90Gelatin10,70,1,-31,3,,,,,,,
605119,Water90Gelatin10,58,1,-35,3,,,,,,,
605325,Water90Gelatin10,50,2,-37,3,,,,,,,
605530,Water90Gelatin10,32,1,-42,3,,,,,,,
605736,Water90Gelatin10,26,1,-35,3,,,,,,,
605941,Water90Gelatin10,18,1,-36,3,,,,,,,
606137,Water90Gelatin10,6,2,-49,3,,,,,,,
606344,Water90Gelatin10,76,1,-30,3,,,,,,,
606550,Water90Gelatin10,70,1,-31,3,,,,,,,
606755,Water90Gelatin10,58,1,-34,3,,,,,,,
606961,Water90Gelatin10,50,1,-36,3,,,,,,,
607166,Water90Gelatin10,32,1,-42,3,,,,,,,
607372,Water90Gelatin10,26,2,-36,3,,,,,,,
607578,Water90Gelatin10,18,2,-36,3,,,,,,,
607783,Water90Gelatin10,6,2,-49,3,,,,,,,
607876,Water90Gelatin10,76,1,-30,3,,,,,,,
607977,Water90Gelatin10,70,1,-32,3,,,,,,,
608193,Water90Gelatin10,58,1,-35,3,,,,,,,
608399,Water90Gelatin10,50,1,-37,3,,,,,,,
608604,Water90Gelatin10,32,1,-42,3,,,,,,,
608810,Water90Gelatin10,26,1,-35,3,,,,,,,
609005,Water90Gelatin10,18,1,-36,3,,,,,,,
609210,Water90Gelatin10,6,1,-49,3,,,,,,,
609376,Water90Gelatin10,76,1,-49,3,,,,,,,
609623,Water90Gelatin10,70,1,-31,3,,,,,,,
609829,Water90Gelatin10,58,1,-35,3,,,,,,,
610034,Water90Gelatin10,50,1,-37,3,,,,,,,
610240,Water90Gelatin10,32,1,-42,3,,,,,,,
610445,Water90Gelatin10,26,1,-36,3,,,,,,,
610651,Water90Gelatin10,18,1,-36,3,,,,,,,
610741,Water90Gelatin10,6,2,-49,3,,,,,,,
610855,Water90Gelatin10,76,1,-30,3,,,,,,,
611061,Water90Gelatin10,70,1,-31,3,,,,,,,
611266,Water90Gelatin10,58,1,-35,3,,,,,,,
611472,Water90Gelatin10,50,2,-37,3,,,,,,,
611667,Water90Gelatin10,32,1,-41,3,,,,,,,
611873,Water90Gelatin10,26,2,-35,3,,,,,,,
612079,Water90Gelatin10,18,1,-36,3,,,,,,,
612274,Water90Gelatin10,6,2,-48,3,,,,,,,
612388,Water90Gelatin10,76,1,-30,3,,,,,,,
612489,Water90Gelatin10,70,2,-32,3,,,,,,,
612694,Water90Gelatin10,58,1,-35,3,,,,,,,
612900,Water90Gelatin10,50,2,-36,3,,,,,,,
613106,Water90Gelatin10,32,1,-41,3,,,,,,,
613311,Water90Gelatin10,26,1,-36,3,,,,,,,
613517,Water90Gelatin10,18,1,-36,3,,,,,,,
613722,Water90Gelatin10,6,1,-49,3,,,,,,,
613877,Water90Gelatin10,76,1,-49,3,,,,,,,
614125,Water90Gelatin10,70,1,-32,3,,,,,,,
614330,Water90Gelatin10,58,1,-35,3,,,,,,,
614536,Water90Gelatin10,50,1,-37,3,,,,,,,
614741,Water90Gelatin10,32,1,-42,3,,,,,,,
1102473,Water25Gelatin75,32,1,-34,2,,,,,,,
1102574,Water25Gelatin75,26,2,-27,2,,,,,,,
1102780,Water25Gelatin75,18,1,-27,2,,,,,,,
1102985,Water25Gelatin75,6,1,-40,2,,,,,,,
1103089,Water25Gelatin75,76,2,-23,2,,,,,,,
1103191,Water25Gelatin75,70,2,-24,2,,,,,,,
1103396,Water25Gelatin75,58,1,-26,2,,,,,,,
1103602,Water25Gelatin75,50,1,-28,2,,,,,,,
1103807,Water25Gelatin75,32,1,-34,2,,,,,,,
1104013,Water25Gelatin75,26,1,-27,2,,,,,,,
1104218,Water25Gelatin75,18,1,-27,2,,,,,,,
1104413,Water25Gelatin75,6,1,-40,2,,,,,,,
1104537,Water25Gelatin75,76,1,-40,2,,,,,,,
1104826,Water25Gelatin75,70,1,-23,2,,,,,,,
1105024,Water25Gelatin75,58,3,-26,2,,,,,,,
1105240,Water25Gelatin75,50,2,-28,2,,,,,,,
1105445,Water25Gelatin75,32,1,-33,2,,,,,,,
1105537,Water25Gelatin75,26,2,-27,2,,,,,,,
1105648,Water25Gelatin75,18,1,-28,2,,,,,,,
1105854,Water25Gelatin75,6,1,-40,2,,,,,,,
1106052,Water25Gelatin75,76,1,-22,2,,,,,,,
1106257,Water25Gelatin75,70,1,-23,2,,,,,,,
1106463,Water25Gelatin75,58,2,-26,2,,,,,,,
1106669,Water25Gelatin75,50,2,-28,2,,,,,,,
1106874,Water25Gelatin75,32,1,-32,2,,,,,,,
1107080,Water25Gelatin75,26,1,-27,2,,,,,,,
1107285,Water25Gelatin75,18,1,-28,2,,,,,,,
1107491,Water25Gelatin75,6,1,-41,2,,,,,,,
1107698,Water25Gelatin75,76,1,-22,2,,,,,,,
1107790,Water25Gelatin75,70,2,-24,2,,,,,,,
1107901,Water25Gelatin75,58,2,-26,2,,,,,,,
1108107,Water25Gelatin75,50,2,-28,2,,,,,,,
1108312,Water25Gelatin75,32,1,-34,2,,,,,,,
1108519,Water25Gelatin75,26,1,-27,2,,,,,,,
1108724,Water25Gelatin75,18,2,-27,2,,,,,,,
1108919,Water25Gelatin75,6,1,-40,2,,,,,,,
1109043,Water25Gelatin75,76,1,-40,2,,,,,,,
1109332,Water25Gelatin75,70,1,-24,2,,,,,,,
1109537,Water25Gelatin75,58,1,-26,2,,,,,,,
1109743,Water25Gelatin75,50,1,-29,2,,,,,,,
1109948,Water25Gelatin75,32,1,-33,2,,,,,,,
1110154,Water25Gelatin75,26,1,-28,2,,,,,,,
1110359,Water25Gelatin75,18,1,-28,2,,,,,,,
1110565,Water25Gelatin75,6,2,-40,2,,,,,,,
1110762,Water25Gelatin75,76,1,-22,2,,,,,,,
1110968,Water25Gelatin75,70,1,-24,2,,,,,,,
1111173,Water25Gelatin75,58,1,-27,2,,,,,,,
1111378,Water25Gelatin75,50,1,-29,2,,,,,,,
1111584,Water25Gelatin75,32,1,-34,2,,,,,,,
1111790,Water25Gelatin75,26,2,-27,2,,,,,,,
1111997,Water25Gelatin75,18,3,-27,2,,,,,,,
1112202,Water25Gelatin75,6,1,-41,2,,,,,,,
1112306,Water25Gelatin75,76,2,-23,2,,,,,,,
1112407,Water25Gelatin75,70,1,-24,2,,,,,,,
1112612,Water25Gelatin75,58,1,-27,2,,,,,,,
1112818,Water25Gelatin75,50,2,-28,2,,,,,,,
1113023,Water25Gelatin75,32,1,-34,2,,,,,,,
1113229,Water25Gelatin75,26,2,-27,2,,,,,,,
1113435,Water25Gelatin75,18,1,-27,2,,,,,,,
1113630,Water25Gelatin75,6,1,-40,2,,,,,,,
1113795,Water25Gelatin75,76,1,-40,2,,,,,,,
1114042,Water25Gelatin75,70,1,-24,2,,,,,,,
1114248,Water25Gelatin75,58,1,-26,2,,,,,,,
1114454,Water25Gelatin75,50,1,-28,2,,,,,,,
1114659,Water25Gelatin75,32,1,-34,2,,,,,,,
1114865,Water25Gelatin75,26,1,-27,2,,,,,,,
1115070,Water25Gelatin75,18,1,-28,2,,,,,,,
1115275,Water25Gelatin75,6,1,-41,2,,,,,,,
1115472,Water25Gelatin75,76,1,-23,2,,,,,,,
1115678,Water25Gelatin75,70,1,-24,2,,,,,,,
1115883,Water25Gelatin75,58,1,-27,2,,,,,,,
1116089,Water25Gelatin75,50,1,-28,2,,,,,,,
1116294,Water25Gelatin75,32,1,-34,2,,,,,,,
1116500,Water25Gelatin75,26,2,-28,2,,,,,,,
1116705,Water25Gelatin75,18,1,-27,2,,,,,,,
1116911,Water25Gelatin75,6,1,-41,2,,,,,,,
1117046,Water25Gelatin75,76,1,-41,2,,,,,,,
1117325,Water25Gelatin75,70,1,-24,2,,,,,,,
1117530,Water25Gelatin75,58,1,-27,2,,,,,,,
1117735,Water25Gelatin75,50,1,-28,2,,,,,,,
1117930,Water25Gelatin75,32,1,-34,2,,,,,,,
1118136,Water25Gelatin75,26,1,-27,2,,,,,,,
1118341,Water25Gelatin75,18,1,-28,2,,,,,,,
1118547,Water25Gelatin75,6,1,-41,2,,,,,,,
1118754,Water25Gelatin75,76,1,-23,2,,,,,,,
1118960,Water25Gelatin75,70,1,-24,2,,,,,,,
1119165,Water25Gelatin75,58,2,-26,2,,,,,,,
1119371,Water25Gelatin75,50,1,-28,2,,,,,,,
1119576,Water25Gelatin75,32,2,-34,2,,,,,,,
1119782,Water25Gelatin75,26,1,-27,2,,,,,,,
1119987,Water25Gelatin75,18,1,-27,2,,,,,,,
1120193,Water25Gelatin75,6,1,-41,2,,,,,,,
1120380,Water25Gelatin75,76,1,-23,2,,,,,,,
1120596,Water25Gelatin75,70,1,-24,2,,,,,,,
1120802,Water25Gelatin75,58,2,-26,2,,,,,,,
1121007,Water25Gelatin75,50,1,-28,2,,,,,,,
1121213,Water25Gelatin75,32,1,-34,2,,,,,,,
1121418,Water25Gelatin75,26,1,-28,2,,,,,,,
1121624,Water25Gelatin75,18,1,-28,2,,,,,,,
1121829,Water25Gelatin75,6,1,-40,2,,,,,,,
1122026,Water25Gelatin75,76,1,-23,2,,,,,,,
1122232,Water25Gelatin75,70,2,-24,2,,,,,,,
1122437,Water25Gelatin75,58,1,-27,2,,,,,,,
1122643,Water25Gelatin75,50,1,-28,2,,,,,,,
1122849,Water25Gelatin75,32,2,-34,2,,,,,,,
1123054,Water25Gelatin75,26,1,-27,2,,,,,,,
1123260,Water25Gelatin75,18,1,-28,2,,,,,,,
1123465,Water25Gelatin75,6,1,-41,2,,,,,,,
1123559,Water25Gelatin75,76,3,-23,2,,,,,,,
1123671,Water25Gelatin75,70,1,-24,2,,,,,,,
1123876,Water25Gelatin75,58,2,-26,2,,,,,,,
1124082,Water25Gelatin75,50,1,-29,2,,,,,,,
1124287,Water25Gelatin75,32,1,-34,2,,,,,,,
1124493,Water25Gelatin75,26,1,-28,2,,,,,,,
1124698,Water25Gelatin75,18,2,-28,2,,,,,,,
1124893,Water25Gelatin75,6,1,-41,2,,,,,,,
1125039,Water25Gelatin75,76,2,-41,2,,,,,,,
1125307,Water25Gelatin75,70,1,-24,2,,,,,,,
1125513,Water25Gelatin75,58,1,-26,2,,,,,,,
1125718,Water25Gelatin75,50,2,-29,2,,,,,,,
1125924,Water25Gelatin75,32,1,-34,2,,,,,,,
1126129,Water25Gelatin75,26,2,-27,2,,,,,,,
1126335,Water25Gelatin75,18,1,-27,2,,,,,,,
1126540,Water25Gelatin75,6,1,-41,2,,,,,,,
1126737,Water25Gelatin75,76,1,-23,2,,,,,,,
1126942,Water25Gelatin75,70,1,-24,2,,,,,,,
1127148,Water25Gelatin75,58,1,-27,2,,,,,,,
1127353,Water25Gelatin75,50,1,-29,2,,,,,,,
1127562,Water25Gelatin75,32,4,-34,2,,,,,,,
1127767,Water25Gelatin75,26,1,-27,2,,,,,,,
1127972,Water25Gelatin75,18,1,-27,2,,,,,,,
1128178,Water25Gelatin75,6,2,-41,2,,,,,,,
1128292,Water25Gelatin75,76,1,-41,2,,,,,,,
1128581,Water25Gelatin75,70,1,-24,2,,,,,,,
1128786,Water25Gelatin75,58,1,-27,2,,,,,,,
1128992,Water25Gelatin75,50,2,-28,2,,,,,,,
1129198,Water25Gelatin75,32,2,-33,2,,,,,,,
1129404,Water25Gelatin75,26,1,-27,2,,,,,,,
1129610,Water25Gelatin75,18,2,-28,2,,,,,,,
1129815,Water25Gelatin75,6,1,-41,2,,,,,,,
1130012,Water25Gelatin75,76,1,-23,2,,,,,,,
1130218,Water25Gelatin75,70,1,-24,2,,,,,,,
1130424,Water25Gelatin75,58,1,-27,2,,,,,,,
1130629,Water25Gelatin75,50,2,-28,2,,,,,,,
1130835,Water25Gelatin75,32,1,-34,2,,,,,,,
1131040,Water25Gelatin75,26,1,-27,2,,,,,,,
1131246,Water25Gelatin75,18,1,-27,2,,,,,,,
1131451,Water25Gelatin75,6,1,-41,2,,,,,,,
1131554,Water25Gelatin75,76,2,-23,2,,,,,,,
1131655,Water25Gelatin75,70,1,-24,2,,,,,,,
1131861,Water25Gelatin75,58,1,-27,2,,,,,,,
1132067,Water25Gelatin75,50,1,-29,2,,,,,,,
1132272,Water25Gelatin75,32,1,-34,2,,,,,,,
1132478,Water25Gelatin75,26,2,-28,2,,,,,,,
1132683,Water25Gelatin75,18,1,-28,2,,,,,,,
1132889,Water25Gelatin75,6,1,-41,2,,,,,,,
1133044,Water25Gelatin75,76,1,-41,2,,,,,,,
1133291,Water25Gelatin75,70,1,-24,2,,,,,,,
1133497,Water25Gelatin75,58,1,-27,2,,,,,,,
1133702,Water25Gelatin75,50,1,-29,2,,,,,,,
1133908,Water25Gelatin75,32,1,-34,2,,,,,,,
1134113,Water25Gelatin75,26,1,-28,2,,,,,,,
1134319,Water25Gelatin75,18,1,-27,2,,,,,,,
1134525,Water25Gelatin75,6,1,-41,2,,,,,,,
1134723,Water25Gelatin75,76,1,-23,2,,,,,,,
1134929,Water25Gelatin75,70,1,-25,2,,,,,,,
1135020,Water25Gelatin75,58,1,-27,2,,,,,,,
1135131,Water25Gelatin75,50,2,-29,2,,,,,,,
1135348,Water25Gelatin75,32,2,-34,2,,,,,,,
1135543,Water25Gelatin75,26,1,-28,2,,,,,,,
1135748,Water25Gelatin75,18,1,-27,2,,,,,,,
1135954,Water25Gelatin75,6,1,-41,2,,,,,,,
1136057,Water25Gelatin75,76,2,-23,2,,,,,,,
1136158,Water25Gelatin75,70,2,-24,2,,,,,,,
1136364,Water25Gelatin75,58,2,-26,2,,,,,,,
1136569,Water25Gelatin75,50,1,-28,2,,,,,,,
1136775,Water25Gelatin75,32,1,-34,2,,,,,,,
1136981,Water25Gelatin75,26,1,-28,2,,,,,,,
1137186,Water25Gelatin75,18,1,-28,2,,,,,,,
1137277,Water25Gelatin75,6,2,-41,2,,,,,,,
1137380,Water25Gelatin75,76,1,-23,2,,,,,,,
1137587,Water25Gelatin75,70,3,-24,2,,,,,,,
1137803,Water25Gelatin75,58,2,-26,2,,,,,,,
1138009,Water25Gelatin75,50,1,-28,2,,,,,,,
1138214,Water25Gelatin75,32,1,-34,2,,,,,,,
1138420,Water25Gelatin75,26,1,-28,2,,,,,,,
1138618,Water25Gelatin75,18,5,-28,2,,,,,,,
1138824,Water25Gelatin75,6,1,-41,2,,,,,,,
1139024,Water25Gelatin75,76,4,-23,2,,,,,,,
1139220,Water25Gelatin75,70,1,-24,2,,,,,,,
1139436,Water25Gelatin75,58,2,-27,2,,,,,,,
1139527,Water25Gelatin75,50,2,-28,2,,,,,,,
1139638,Water25Gelatin75,32,1,-34,2,,,,,,,
1139834,Water25Gelatin75,26,1,-27,2,,,,,,,
1140049,Water25Gelatin75,18,1,-28,2,,,,,,,
1140161,Water25Gelatin75,6,2,-28,2,,,,,,,
1140297,Water25Gelatin75,76,3,-23,2,,,,,,,
1140461,Water25Gelatin75,70,1,-24,2,,,,,,,
1140667,Water25Gelatin75,58,1,-27,2,,,,,,,
1140872,Water25Gelatin75,50,2,-29,2,,,,,,,
1141078,Water25Gelatin75,32,1,-34,2,,,,,,,
1141283,Water25Gelatin75,26,1,-28,2,,,,,,,
1141489,Water25Gelatin75,18,2,-28,2,,,,,,,
1141694,Water25Gelatin75,6,1,-41,2,,,,,,,
1141798,Water25Gelatin75,76,1,-41,2,,,,,,,
1141899,Water25Gelatin75,70,1,-24,2,,,,,,,
1142104,Water25Gelatin75,58,1,-26,2,,,,,,,
1142310,Water25Gelatin75,50,1,-28,2,,,,,,,
1142515,Water25Gelatin75,32,1,-33,2,,,,,,,
1142721,Water25Gelatin75,26,1,-28,2,,,,,,,
1142916,Water25Gelatin75,18,1,-27,2,,,,,,,
1143112,Water25Gelatin75,6,2,-41,2,,,,,,,
1143288,Water25Gelatin75,76,1,-41,2,,,,,,,
1143535,Water25Gelatin75,70,1,-24,2,,,,,,,
1143740,Water25Gelatin75,58,1,-27,2,,,,,,,
1143946,Water25Gelatin75,50,1,-28,2,,,,,,,
1144036,Water25Gelatin75,32,1,-33,2,,,,,,,
1144148,Water25Gelatin75,26,1,-27,2,,,,,,,
1144354,Water25Gelatin75,18,2,-27,2,,,,,,,
1144559,Water25Gelatin75,6,1,-41,2,,,,,,,
1144766,Water25Gelatin75,76,1,-23,2,,,,,,,
1144971,Water25Gelatin75,70,1,-25,2,,,,,,,
1145177,Water25Gelatin75,58,1,-27,2,,,,,,,
1145383,Water25Gelatin75,50,1,-29,2,,,,,,,
1145588,Water25Gelatin75,32,1,-33,2,,,,,,,
1145783,Water25Gelatin75,26,1,-28,2,,,,,,,
1145988,Water25Gelatin75,18,1,-27,2,,,,,,,
1146194,Water25Gelatin75,6,2,-41,2,,,,,,,
1146297,Water25Gelatin75,76,1,-41,2,,,,,,,
1146398,Water25Gelatin75,70,1,-24,2,,,,,,,
1146603,Water25Gelatin75,58,1,-27,2,,,,,,,
1146809,Water25Gelatin75,50,1,-29,2,,,,,,,
1147014,Water25Gelatin75,32,1,-34,2,,,,,,,
1147220,Water25Gelatin75,26,1,-27,2,,,,,,,
1147425,Water25Gelatin75,18,1,-28,2,,,,,,,
1147631,Water25Gelatin75,6,1,-41,2,,,,,,,
1147839,Water25Gelatin75,76,1,-23,2,,,,,,,
1148044,Water25Gelatin75,70,1,-24,2,,,,,,,
1148250,Water25Gelatin75,58,1,-26,2,,,,,,,
1148455,Water25Gelatin75,50,2,-29,2,,,,,,,
