timeStamp,Material,TxPower,RTT,RSSI,matOrder,,TxPower,(All),,,,
74077,Empty box with air,70,4,-28,1,,,,,,,
74273,Empty box with air,58,1,-31,1,,,,,,,
74478,Empty box with air,50,1,-33,1,,,,,,,
74683,Empty box with air,32,1,-37,1,,,,,,,
74889,Empty box with air,26,1,-32,1,,,,,,,
75097,Empty box with air,18,5,-33,1,,,,,,,
75303,Empty box with air,6,1,-45,1,,,,,,,
75448,Empty box with air,76,1,-45,1,,,,,,,
75717,Empty box with air,70,3,-28,1,,,,,,,
75913,Empty box with air,58,2,-32,1,,,,,,,
76120,Empty box with air,50,3,-33,1,,,,,,,
76325,Empty box with air,32,1,-37,1,,,,,,,
76531,Empty box with air,26,1,-32,1,,,,,,,
76736,Empty box with air,18,1,-33,1,,,,,,,
76931,Empty box with air,6,1,-45,1,,,,,,,
77153,Empty box with air,76,5,-27,1,,,,,,,
77348,Empty box with air,70,2,-29,1,,,,,,,
77554,Empty box with air,58,2,-32,1,,,,,,,
77761,Empty box with air,50,3,-34,1,,,,,,,
77969,Empty box with air,32,4,-37,1,,,,,,,
78164,Empty box with air,26,1,-33,1,,,,,,,
78370,Empty box with air,18,1,-33,1,,,,,,,
78461,Empty box with air,6,1,-45,1,,,,,,,
78576,Empty box with air,76,3,-27,1,,,,,,,
78781,Empty box with air,70,1,-28,1,,,,,,,
78986,Empty box with air,58,1,-32,1,,,,,,,
79192,Empty box with air,50,1,-33,1,,,,,,,
79397,Empty box with air,32,1,-37,1,,,,,,,
79603,Empty box with air,26,2,-32,1,,,,,,,
79808,Empty box with air,18,1,-33,1,,,,,,,
80013,Empty box with air,6,1,-45,1,,,,,,,
80200,Empty box with air,76,2,-27,1,,,,,,,
80416,Empty box with air,70,1,-28,1,,,,,,,
80623,Empty box with air,58,2,-31,1,,,,,,,
80713,Empty box with air,50,2,-33,1,,,,,,,
80825,Empty box with air,32,1,-37,1,,,,,,,
81043,Empty box with air,26,3,-33,1,,,,,,,
81239,Empty box with air,18,3,-32,1,,,,,,,
81444,Empty box with air,6,2,-45,1,,,,,,,
81652,Empty box with air,76,1,-27,1,,,,,,,
81860,Empty box with air,70,3,-28,1,,,,,,,
82057,Empty box with air,58,3,-32,1,,,,,,,
82263,Empty box with air,50,1,-34,1,,,,,,,
82468,Empty box with air,32,1,-38,1,,,,,,,
82675,Empty box with air,26,3,-33,1,,,,,,,
82881,Empty box with air,18,1,-33,1,,,,,,,
83086,Empty box with air,6,1,-45,1,,,,,,,
83200,Empty box with air,76,2,-45,1,,,,,,,
83489,Empty box with air,70,1,-28,1,,,,,,,
83696,Empty box with air,58,3,-32,1,,,,,,,
83903,Empty box with air,50,3,-34,1,,,,,,,
84108,Empty box with air,32,1,-37,1,,,,,,,
84315,Empty box with air,26,3,-33,1,,,,,,,
84524,Empty box with air,18,5,-33,1,,,,,,,
84719,Empty box with air,6,1,-46,1,,,,,,,
84927,Empty box with air,76,1,-27,1,,,,,,,
85133,Empty box with air,70,1,-29,1,,,,,,,
85342,Empty box with air,58,5,-32,1,,,,,,,
85548,Empty box with air,50,2,-34,1,,,,,,,
85743,Empty box with air,32,1,-39,1,,,,,,,
85948,Empty box with air,26,1,-33,1,,,,,,,
86155,Empty box with air,18,3,-33,1,,,,,,,
86361,Empty box with air,6,1,-46,1,,,,,,,
86455,Empty box with air,76,3,-28,1,,,,,,,
86571,Empty box with air,70,6,-29,1,,,,,,,
86770,Empty box with air,58,5,-32,1,,,,,,,
