timeStamp,Material,TxPower,RTT,RSSI
32759,<unknown>,28,1,-25
32944,<unknown>,20,1,-25
33160,<unknown>,8,1,-36
33367,<unknown>,78,1,-19
33458,<unknown>,66,2,-22
33569,<unknown>,60,1,-23
33775,<unknown>,44,1,-25
33970,<unknown>,34,2,-30
34186,<unknown>,28,1,-25
34403,<unknown>,20,3,-24
34484,<unknown>,8,2,-37
34597,<unknown>,78,1,-20
34792,<unknown>,66,1,-22
34883,<unknown>,60,2,-22
35005,<unknown>,44,1,-25
35201,<unknown>,34,2,-30
35417,<unknown>,28,1,-25
35612,<unknown>,20,1,-24
35703,<unknown>,8,2,-24
35828,<unknown>,78,1,-20
36033,<unknown>,66,1,-22
36229,<unknown>,60,2,-23
36434,<unknown>,44,1,-24
36630,<unknown>,34,1,-30
36846,<unknown>,28,2,-25
37041,<unknown>,20,1,-24
37257,<unknown>,8,1,-36
37445,<unknown>,78,2,-36
37672,<unknown>,66,1,-22
37753,<unknown>,60,2,-24
37875,<unknown>,44,2,-25
37966,<unknown>,34,2,-29
38077,<unknown>,28,1,-24
38273,<unknown>,20,2,-25
38489,<unknown>,8,1,-37
38696,<unknown>,78,1,-19
38777,<unknown>,66,2,-21
38899,<unknown>,60,1,-23
39105,<unknown>,44,1,-25
39300,<unknown>,34,1,-29
39506,<unknown>,28,1,-24
39711,<unknown>,20,1,-24
39906,<unknown>,8,1,-37
40124,<unknown>,78,1,-20
40215,<unknown>,66,2,-22
40327,<unknown>,60,2,-23
40522,<unknown>,44,1,-25
40738,<unknown>,34,1,-29
40933,<unknown>,28,1,-24
41149,<unknown>,20,1,-24
41345,<unknown>,8,2,-36
41458,<unknown>,78,1,-20
41549,<unknown>,66,1,-22
41765,<unknown>,60,2,-24
41960,<unknown>,44,1,-24
42051,<unknown>,34,2,-24
42174,<unknown>,28,2,-24
42370,<unknown>,20,1,-24
42460,<unknown>,8,2,-24
42585,<unknown>,78,1,-19
42780,<unknown>,66,1,-22
42871,<unknown>,60,1,-22
42993,<unknown>,44,1,-25
43188,<unknown>,34,2,-30
43404,<unknown>,28,1,-24
43610,<unknown>,20,1,-25
43815,<unknown>,8,1,-36
43941,<unknown>,78,3,-36
44220,<unknown>,66,1,-22
44415,<unknown>,60,1,-23
44631,<unknown>,44,2,-25
44722,<unknown>,34,2,-30
44834,<unknown>,28,1,-24
45039,<unknown>,20,1,-25
45235,<unknown>,8,1,-37
45442,<unknown>,78,2,-19
45658,<unknown>,66,1,-22
45854,<unknown>,60,1,-23
45944,<unknown>,44,1,-25
46066,<unknown>,34,1,-30
46262,<unknown>,28,2,-24
46353,<unknown>,20,2,-24
46475,<unknown>,8,1,-37
46683,<unknown>,78,2,-19
46868,<unknown>,66,1,-23
47084,<unknown>,60,1,-23
47280,<unknown>,44,2,-24
47495,<unknown>,34,2,-29
47701,<unknown>,28,1,-25
47896,<unknown>,20,1,-25
48112,<unknown>,8,1,-37
48216,<unknown>,78,1,-19
48306,<unknown>,66,1,-22
48522,<unknown>,60,1,-24
48718,<unknown>,44,1,-25
48809,<unknown>,34,3,-25
48931,<unknown>,28,1,-25
49127,<unknown>,20,1,-25
49219,<unknown>,8,3,-25
49343,<unknown>,78,1,-19
49538,<unknown>,66,1,-23
49754,<unknown>,60,1,-23
49950,<unknown>,44,2,-25
50155,<unknown>,34,1,-29
50350,<unknown>,28,1,-24
50566,<unknown>,20,2,-24
50762,<unknown>,8,2,-36
50980,<unknown>,78,1,-19
51175,<unknown>,66,2,-22
51391,<unknown>,60,1,-23
51586,<unknown>,44,1,-24
51802,<unknown>,34,1,-29
52008,<unknown>,28,1,-24
52193,<unknown>,20,2,-24
52409,<unknown>,8,1,-36
52617,<unknown>,78,2,-19
52815,<unknown>,66,4,-22
52895,<unknown>,60,1,-22
53028,<unknown>,44,1,-25
53233,<unknown>,34,2,-29
53429,<unknown>,28,1,-25
53644,<unknown>,20,1,-25
53839,<unknown>,8,1,-38
53953,<unknown>,78,1,-20
54044,<unknown>,66,1,-23
54135,<unknown>,60,1,-23
54257,<unknown>,44,1,-25
54462,<unknown>,34,1,-30
54657,<unknown>,28,1,-24
54873,<unknown>,20,1,-25
55069,<unknown>,8,1,-36
55192,<unknown>,78,1,-36
55472,<unknown>,66,1,-23
55687,<unknown>,60,1,-23
55883,<unknown>,44,1,-25
56098,<unknown>,34,1,-30
56294,<unknown>,28,1,-25
56510,<unknown>,20,2,-25
56705,<unknown>,8,1,-36
56923,<unknown>,78,1,-19
57118,<unknown>,66,1,-22
57323,<unknown>,60,1,-24
57519,<unknown>,44,2,-25
57735,<unknown>,34,1,-30
57942,<unknown>,28,3,-25
58137,<unknown>,20,1,-25
58353,<unknown>,8,1,-36
58456,<unknown>,78,1,-19
58547,<unknown>,66,1,-23
58763,<unknown>,60,1,-23
58958,<unknown>,44,1,-25
59174,<unknown>,34,1,-30
59369,<unknown>,28,1,-25
59460,<unknown>,20,2,-25
59582,<unknown>,8,1,-37
59697,<unknown>,78,2,-37
59986,<unknown>,66,1,-24
60171,<unknown>,60,2,-24
60397,<unknown>,44,1,-27
60592,<unknown>,34,1,-31
60808,<unknown>,28,1,-27
61014,<unknown>,20,1,-27
61209,<unknown>,8,1,-39
