timeStamp,Material,TxPower,RTT,RSSI
30125,<unknown>,50,2,-32
30217,<unknown>,32,3,-34
30460,<unknown>,26,7,-33
30662,<unknown>,18,8,-33
30847,<unknown>,6,2,-46
30973,<unknown>,76,3,-28
31056,<unknown>,70,4,-28
31274,<unknown>,58,4,-32
31475,<unknown>,50,7,-34
31670,<unknown>,32,1,-38
31888,<unknown>,26,3,-33
32085,<unknown>,18,3,-34
32176,<unknown>,6,2,-45
32293,<unknown>,76,4,-28
32488,<unknown>,70,2,-29
32583,<unknown>,58,5,-29
32709,<unknown>,50,5,-33
32894,<unknown>,32,1,-39
33111,<unknown>,26,3,-33
33306,<unknown>,18,1,-34
33522,<unknown>,6,1,-47
33688,<unknown>,76,1,-47
33938,<unknown>,70,4,-29
34135,<unknown>,58,3,-33
34341,<unknown>,50,2,-34
34538,<unknown>,32,3,-38
34763,<unknown>,26,11,-33
34951,<unknown>,18,4,-33
35157,<unknown>,6,1,-46
35372,<unknown>,76,9,-27
35557,<unknown>,70,2,-28
35654,<unknown>,58,7,-28
35779,<unknown>,50,5,-35
35974,<unknown>,32,2,-37
36066,<unknown>,26,2,-37
36193,<unknown>,18,7,-32
36378,<unknown>,6,1,-45
36598,<unknown>,76,4,-27
36798,<unknown>,70,4,-29
37003,<unknown>,58,1,-32
37198,<unknown>,50,1,-34
37414,<unknown>,32,2,-38
37611,<unknown>,26,3,-33
37704,<unknown>,18,3,-33
37830,<unknown>,6,5,-45
37937,<unknown>,76,6,-28
38250,<unknown>,70,24,-30
38452,<unknown>,58,8,-33
38644,<unknown>,50,8,-35
38839,<unknown>,32,2,-40
39065,<unknown>,26,12,-33
39255,<unknown>,18,6,-34
39346,<unknown>,6,1,-34
39454,<unknown>,76,6,-28
39680,<unknown>,70,12,-30
39869,<unknown>,58,4,-33
39951,<unknown>,50,2,-33
40074,<unknown>,32,2,-39
40298,<unknown>,26,9,-33
40498,<unknown>,18,6,-35
40683,<unknown>,6,1,-46
40908,<unknown>,76,9,-28
41094,<unknown>,70,2,-29
42934,<unknown>,58,5,-33
43032,<unknown>,50,9,-33
43144,<unknown>,32,2,-40
43368,<unknown>,26,9,-33
43556,<unknown>,18,4,-34
43761,<unknown>,6,1,-46
43947,<unknown>,76,10,-46
44185,<unknown>,70,12,-29
44385,<unknown>,58,7,-33
44575,<unknown>,50,6,-34
44667,<unknown>,32,3,-34
44795,<unknown>,26,7,-34
44997,<unknown>,18,8,-34
45182,<unknown>,6,2,-47
45416,<unknown>,76,7,-28
45605,<unknown>,70,6,-30
45702,<unknown>,58,6,-30
45823,<unknown>,50,11,-34
46021,<unknown>,32,4,-39
46232,<unknown>,26,8,-33
46434,<unknown>,18,8,-33
46621,<unknown>,6,4,-46
46745,<unknown>,76,12,-29
47035,<unknown>,70,2,-30
47258,<unknown>,58,8,-33
47443,<unknown>,50,2,-35
47534,<unknown>,32,1,-35
47666,<unknown>,26,11,-34
